"The Central Primary Hallway",21.8366,82.1472,0,0,293.15,52500
"Engineering",21.8366,82.1472,0,0,293.15,2500
"Engineering",17.5164,65.8929,0,0,293.15,67500
"Engineering Construction Storage",21.8366,82.1472,0,0,293.15,2500
"The Quartermasters",21.8366,82.1472,0,0,293.15,20000
"Engineering",21.8366,82.1472,0,0,293.15,2500
"Medbay",21.8366,82.1472,0,0,293.15,5000
"Medical Research",21.6853,81.5872,0.00251484,0,293.389,95000
"The Theatre",21.598,81.2501,0.000171779,0,293.32,42500
"Engineering",21.8366,82.1472,0,0,293.15,2500
"The Quartermasters",21.8366,82.1472,0,0,293.15,20000
"The supply shuttle",0.01,0.01,0,0,293.15,80000
"Engineering",21.8366,82.1472,0,0,293.15,2500
"The supply shuttle",0.01,0.01,0,0,293.15,80000
"The Security Lobby",21.4205,80.5822,0.000100207,0,293.154,12500
"The Cafeteria",21.8366,82.1472,0,0,293.15,7500
"The Kitchen",21.8366,82.1472,0,0,293.15,167500
"The Quartermasters",21.8366,82.1472,0,0,293.15,2500
"The Escape Pod One",21.8366,82.1472,0,0,293.15,2500
